pair,signal,entry_time,exit_time,entry_price,exit_price,bars_held,exit_reason,pips,win
EURUSD,SELL,2024-12-31 08:15:00,2024-12-31 13:15:00,1.04109,1.03896,59,RSI=17.4,19.799999999999653,1
EURUSD,BUY,2024-12-31 13:15:00,2024-12-31 21:20:00,1.03896,1.03597,96,Timeout,-31.400000000000478,0
EURUSD,BUY,2025-01-02 10:40:00,2025-01-02 18:45:00,1.0341,1.0261,96,Timeout,-81.50000000000007,0
EURUSD,SELL,2025-01-06 02:20:00,2025-01-06 10:25:00,1.03163,1.03436,96,Timeout,-28.799999999998988,0
EURUSD,SELL,2025-01-06 11:30:00,2025-01-06 14:25:00,1.04136,1.0363,34,RSI=18.2,49.10000000000064,1
EURUSD,SELL,2025-01-07 07:45:00,2025-01-07 15:15:00,1.04231,1.03679,89,RSI=14.1,53.69999999999969,1
EURUSD,BUY,2025-01-08 07:55:00,2025-01-08 16:00:00,1.03353,1.03017,96,Timeout,-35.10000000000029,0
EURUSD,BUY,2025-01-10 06:30:00,2025-01-10 08:05:00,1.02846,1.02947,18,RSI=80.5,8.600000000001774,1
EURUSD,SELL,2025-01-10 08:05:00,2025-01-10 13:40:00,1.02947,1.02348,66,RSI=11.2,58.40000000000162,1
EURUSD,BUY,2025-01-10 13:40:00,2025-01-10 21:45:00,1.02348,1.02443,96,Timeout,8.000000000000064,1
EURUSD,BUY,2025-01-13 03:55:00,2025-01-13 06:00:00,1.02186,1.02193,24,RSI=81.0,-0.7999999999998552,0
EURUSD,BUY,2025-01-13 09:30:00,2025-01-13 13:45:00,1.01868,1.02121,50,RSI=85.9,23.799999999999212,1
EURUSD,SELL,2025-01-13 22:30:00,2025-01-14 00:50:00,1.02548,1.02479,27,RSI=11.5,5.399999999998574,1
EURUSD,BUY,2025-01-15 16:40:00,2025-01-16 00:45:00,1.02759,1.02978,96,Timeout,20.399999999999142,1
EURUSD,SELL,2025-01-21 14:25:00,2025-01-21 19:50:00,1.03922,1.04172,64,RSI=15.7,-26.499999999999467,0
EURUSD,BUY,2025-01-21 23:20:00,2025-01-22 07:25:00,1.04012,1.04133,96,Timeout,10.600000000001554,1
EURUSD,SELL,2025-01-22 10:05:00,2025-01-22 12:35:00,1.04459,1.04357,29,RSI=18.5,8.699999999997988,1
EURUSD,SELL,2025-01-23 09:55:00,2025-01-23 15:30:00,1.04135,1.0395,66,RSI=19.6,16.999999999999073,1
EURUSD,BUY,2025-01-23 15:30:00,2025-01-23 17:55:00,1.0395,1.04345,28,RSI=80.4,37.99999999999898,1
EURUSD,SELL,2025-01-24 08:35:00,2025-01-24 10:40:00,1.04896,1.04873,24,RSI=17.9,0.7999999999995244,1
EURUSD,SELL,2025-01-24 15:10:00,2025-01-24 18:50:00,1.05078,1.04969,43,RSI=15.5,9.400000000000354,1
EURUSD,BUY,2025-01-27 23:30:00,2025-01-28 05:50:00,1.04454,1.0437,75,RSI=81.0,-9.899999999999519,0
EURUSD,BUY,2025-01-29 07:35:00,2025-01-29 15:40:00,1.04203,1.04152,96,Timeout,-6.600000000000104,0
EURUSD,SELL,2025-01-29 15:50:00,2025-01-29 23:55:00,1.04226,1.04247,96,Timeout,-3.600000000000435,0
EURUSD,SELL,2025-01-30 14:05:00,2025-01-30 20:45:00,1.04465,1.03889,79,RSI=17.6,56.09999999999987,1
EURUSD,SELL,2025-01-31 07:50:00,2025-01-31 08:55:00,1.04023,1.03848,12,RSI=18.0,15.999999999999183,1
EURUSD,BUY,2025-01-31 08:55:00,2025-01-31 16:35:00,1.03848,1.03987,91,RSI=80.2,12.400000000000023,1
EURUSD,SELL,2025-01-31 16:40:00,2025-01-31 18:40:00,1.04026,1.03719,23,RSI=14.7,29.19999999999906,1
EURUSD,BUY,2025-02-02 22:15:00,2025-02-03 05:40:00,1.02542,1.02377,88,RSI=87.7,-17.999999999999293,0
EURUSD,BUY,2025-02-04 05:20:00,2025-02-04 06:30:00,1.02816,1.02947,13,RSI=83.1,11.600000000001444,1
EURUSD,SELL,2025-02-04 08:25:00,2025-02-04 12:10:00,1.03265,1.03204,44,RSI=15.4,4.599999999999994,1
EURUSD,SELL,2025-02-05 15:10:00,2025-02-05 19:55:00,1.0426,1.04066,56,RSI=14.8,17.900000000000528,1
EURUSD,BUY,2025-02-06 08:35:00,2025-02-06 16:40:00,1.03631,1.03739,96,Timeout,9.299999999999699,1
EURUSD,BUY,2025-02-07 01:20:00,2025-02-07 08:05:00,1.03769,1.03911,80,RSI=84.1,12.699999999999768,1
EURUSD,SELL,2025-02-07 08:05:00,2025-02-07 11:00:00,1.03911,1.03811,34,RSI=15.4,8.499999999998899,1
EURUSD,BUY,2025-02-09 22:15:00,2025-02-10 04:10:00,1.02958,1.03129,70,RSI=85.0,15.600000000001003,1
EURUSD,SELL,2025-02-10 09:20:00,2025-02-10 12:20:00,1.03297,1.03109,35,RSI=11.0,17.299999999998818,1
EURUSD,SELL,2025-02-11 09:15:00,2025-02-11 17:20:00,1.0318,1.03446,96,Timeout,-28.099999999998847,0
EURUSD,SELL,2025-02-11 20:40:00,2025-02-12 01:00:00,1.03651,1.03571,51,RSI=13.9,6.500000000001339,1
EURUSD,BUY,2025-02-12 13:40:00,2025-02-12 17:25:00,1.03225,1.0414,44,RSI=86.2,90.00000000000212,1
EURUSD,SELL,2025-02-12 17:25:00,2025-02-12 19:10:00,1.0414,1.03888,20,RSI=16.0,23.700000000000777,1
EURUSD,BUY,2025-02-12 19:20:00,2025-02-13 00:10:00,1.03857,1.03927,57,RSI=80.0,5.499999999999229,1
EURUSD,SELL,2025-02-13 03:45:00,2025-02-13 11:50:00,1.04164,1.04014,96,Timeout,13.499999999998348,1
EURUSD,BUY,2025-02-13 12:20:00,2025-02-13 15:20:00,1.03868,1.04311,35,RSI=84.7,42.799999999999336,1
EURUSD,BUY,2025-02-14 05:40:00,2025-02-14 06:55:00,1.04471,1.0458,14,RSI=83.1,9.400000000000354,1
EURUSD,SELL,2025-02-14 07:20:00,2025-02-14 15:25:00,1.04714,1.04999,96,Timeout,-30.00000000000019,0
EURUSD,BUY,2025-02-17 08:30:00,2025-02-17 16:35:00,1.04743,1.04809,96,Timeout,5.099999999998829,1
EURUSD,BUY,2025-02-18 01:40:00,2025-02-18 07:10:00,1.04659,1.04651,65,RSI=80.9,-2.2999999999985796,0
EURUSD,BUY,2025-02-18 17:45:00,2025-02-19 01:50:00,1.04453,1.04434,96,Timeout,-3.3999999999991246,0
EURUSD,BUY,2025-02-19 09:50:00,2025-02-19 17:55:00,1.04369,1.04106,96,Timeout,-27.799999999999102,0
EURUSD,SELL,2025-02-19 19:15:00,2025-02-20 03:20:00,1.0426,1.04297,96,Timeout,-5.199999999999814,0
EURUSD,SELL,2025-02-20 17:50:00,2025-02-21 00:45:00,1.04898,1.04891,82,RSI=18.6,-0.7999999999998552,0
EURUSD,BUY,2025-02-21 08:35:00,2025-02-21 14:10:00,1.04808,1.04771,66,RSI=81.2,-5.199999999999814,0
EURUSD,SELL,2025-02-21 14:10:00,2025-02-21 16:10:00,1.04771,1.0454,23,RSI=19.3,21.599999999998122,1
EURUSD,BUY,2025-02-21 16:10:00,2025-02-23 23:35:00,1.0454,1.04788,88,RSI=83.8,23.299999999998157,1
EURUSD,SELL,2025-02-23 23:35:00,2025-02-24 07:40:00,1.04788,1.0491,96,Timeout,-13.699999999999987,0
EURUSD,BUY,2025-02-24 08:20:00,2025-02-24 16:25:00,1.04719,1.04702,96,Timeout,-3.200000000000035,0
EURUSD,BUY,2025-02-27 14:00:00,2025-02-27 19:05:00,1.04231,1.04139,60,RSI=84.5,-10.700000000000317,0
EURUSD,SELL,2025-02-28 13:10:00,2025-02-28 18:30:00,1.04114,1.03725,63,RSI=14.2,37.39999999999949,1
EURUSD,BUY,2025-02-28 18:30:00,2025-03-02 22:10:00,1.03725,1.04028,43,RSI=81.3,28.800000000000882,1
EURUSD,SELL,2025-03-02 22:10:00,2025-03-03 06:15:00,1.04028,1.04132,96,Timeout,-11.899999999999297,0
