datetime,idx,up_currency,up_crossing_value,up_velocity,up_time_below,up_min_mfc,down_currency,down_crossing_value,down_velocity,down_time_above,down_max_mfc,velocity_diff,velocity_sum,outcome,reached_zero,reached_upper,fell_back,max_mfc,min_mfc_after,time_to_zero,time_to_upper,time_to_fall_back,down_velocity_abs,vel_diff_quartile,depth_bin,height_bin
2008-01-29 20:00:00,15,USD,-0.18508087,0.02937422666666667,15,-0.49694403,GBP,0.14615406,-0.0327063,15,0.28155021,0.06208052666666667,0.06208052666666667,reached_zero_then_reversed,True,False,True,0.18741651,-0.32872613,22.0,,3.0,0.0327063,Q1_low,moderate_-0.6_to_-0.4,shallow_<0.4
2008-01-29 20:00:00,15,USD,-0.18508087,0.02937422666666667,15,-0.49694403,NZD,0.19861898,-0.019922123333333337,9,0.28065291,0.04929635,0.04929635,reached_zero_then_reversed,True,False,True,0.18741651,-0.32872613,22.0,,3.0,0.019922123333333337,Q1_low,moderate_-0.6_to_-0.4,shallow_<0.4
2008-02-14 20:00:00,89,CHF,-0.17505768,0.04628543333333333,10,-0.33419075,NZD,0.17320918,-0.01698855666666667,4,0.22417485,0.06327399,0.06327399,full_continuation,True,True,False,0.28475838,-0.17505768,5.0,11.0,,0.01698855666666667,Q1_low,shallow_>-0.4,shallow_<0.4
2008-02-15 20:00:00,95,JPY,-0.19190371,0.0019748466666666686,1,-0.20035553,GBP,0.17690937,-0.049404613333333326,9,0.3624574,0.051379459999999995,0.051379459999999995,reached_zero_then_reversed,True,False,True,0.15326635,-0.25394828,11.0,,1.0,0.049404613333333326,Q1_low,shallow_>-0.4,shallow_<0.4
2008-03-18 16:00:00,231,USD,-0.09627276,0.10376298333333334,24,-1.16796348,NZD,0.1382076,-0.07147862666666667,12,0.40278946,0.17524161,0.17524161,full_continuation,True,True,False,0.6868293,-0.09627276,1.0,5.0,,0.07147862666666667,Q4_high,deep_<-0.6,moderate_0.4_to_0.6
2008-03-20 12:00:00,242,GBP,-0.14537766,0.08183695666666667,22,-1.20367338,EUR,0.16214867,-0.06789639666666668,21,0.45130621,0.14973335333333335,0.14973335333333335,full_continuation,True,True,False,0.38975352,-0.14544373,5.0,13.0,,0.06789639666666668,Q3,deep_<-0.6,moderate_0.4_to_0.6
2008-03-20 20:00:00,244,NZD,-0.19607129,0.06208030999999999,8,-0.41108864,CHF,0.11977356,-0.07277543666666668,24,0.94953526,0.13485574666666666,0.13485574666666666,full_continuation,True,True,False,0.29259965,-0.19607129,5.0,27.0,,0.07277543666666668,Q3,moderate_-0.6_to_-0.4,high_>0.6
2008-03-24 20:00:00,257,CHF,-0.1804006,0.015310243333333334,3,-0.24638149,JPY,0.11849166,-0.11009975333333333,9,0.47491463,0.12540999666666666,0.12540999666666666,full_continuation,True,True,False,0.33772582,-0.1804006,14.0,19.0,,0.11009975333333333,Q3,shallow_>-0.4,moderate_0.4_to_0.6
2008-03-25 08:00:00,260,AUD,-0.15543537,0.05021398333333333,33,-0.5349547,USD,0.13081635,-0.07540432,24,0.6868293,0.12561830333333332,0.12561830333333332,reached_zero_then_reversed,True,False,True,0.1461845,-0.2024398,9.0,,28.0,0.07540432,Q3,moderate_-0.6_to_-0.4,high_>0.6
2008-04-03 20:00:00,306,JPY,-0.19718718,0.030517110000000004,8,-0.2986381,USD,0.17424421,-0.08035773666666667,15,0.65115246,0.11087484666666667,0.11087484666666667,reached_zero_then_reversed,True,False,True,0.04334053,-0.33707842,27.0,,7.0,0.08035773666666667,Q3,shallow_>-0.4,high_>0.6
